grid,centroid,c_lon,c_lat,geometry
"1179963.280286 999017.520396, 1179963.280286 1000017.520396, 1180963.280286 1000017.520396, 1180963.280286 999017.520396, 1179963.280286 999017.520396",POINT (1180463.2802863133 999517.520395831),75.69298064533281,26.869000030118585,"POLYGON ((75.68787228763571 26.86454807018441, 75.68801642127863 26.873581429501968, 75.69808940331126 26.873451802627386, 75.69794446909314 26.864418453454377, 75.68787228763571 26.86454807018441))"
"1179963.280286 1000017.520396, 1179963.280286 1001017.520396, 1180963.280286 1001017.520396, 1180963.280286 1000017.520396, 1179963.280286 1000017.520396",POINT (1180463.2802863133 1000517.520395831),75.69312519075471,26.87803337869358,"POLYGON ((75.68801642127863 26.873581429501968, 75.6881605778407 26.882614777407554, 75.69823436057575 26.882485140390056, 75.69808940331126 26.873451802627386, 75.68801642127863 26.873581429501968))"
"1179963.280286 1001017.520396, 1179963.280286 1002017.520396, 1180963.280286 1002017.520396, 1180963.280286 1001017.520396, 1179963.280286 1001017.520396",POINT (1180463.2802863133 1001517.520395831),75.69326975916213,26.88706671574442,"POLYGON ((75.6881605778407 26.882614777407554, 75.6883047573274 26.891648113675164, 75.69837934089216 26.8915184665164, 75.69823436057575 26.882485140390056, 75.6881605778407 26.882614777407554))"
"1179963.280286 1002017.520396, 1179963.280286 1003017.520396, 1180963.280286 1003017.520396, 1180963.280286 1002017.520396, 1179963.280286 1002017.520396",POINT (1180463.2802863133 1002517.520395831),75.69341435056053,26.89610004104507,"POLYGON ((75.6883047573274 26.891648113675164, 75.68844895974415 26.90068143807876, 75.69852434426593 26.900551780780344, 75.69837934089216 26.8915184665164, 75.6883047573274 26.891648113675164))"
"1179963.280286 1003017.520396, 1179963.280286 1004017.520396, 1180963.280286 1004017.520396, 1180963.280286 1003017.520396, 1179963.280286 1003017.520396",POINT (1180463.2802863133 1003517.520395831),75.69355896495543,26.905133354369497,"POLYGON ((75.68844895974415 26.90068143807876, 75.68859318509647 26.909714750392297, 75.69866937070262 26.90958508295585, 75.69852434426593 26.900551780780344, 75.68844895974415 26.90068143807876))"
"1179963.280286 1004017.520396, 1179963.280286 1005017.520396, 1180963.280286 1005017.520396, 1180963.280286 1004017.520396, 1179963.280286 1004017.520396",POINT (1180463.2802863133 1004517.520395831),75.69370360235227,26.914166655491645,"POLYGON ((75.68859318509647 26.909714750392297, 75.6887374333898 26.918748050389706, 75.69881442020768 26.918618372816862, 75.69866937070262 26.90958508295585, 75.68859318509647 26.909714750392297))"
"1179963.280286 1005017.520396, 1179963.280286 1006017.520396, 1180963.280286 1006017.520396, 1180963.280286 1005017.520396, 1179963.280286 1005017.520396",POINT (1180463.2802863133 1005517.520395831),75.69384826275657,26.923199944185434,"POLYGON ((75.6887374333898 26.918748050389706, 75.68888170462962 26.927781337844905, 75.69895949278664 26.927651650137307, 75.69881442020768 26.918618372816862, 75.6887374333898 26.918748050389706))"
"1179963.280286 1006017.520396, 1179963.280286 1007017.520396, 1180963.280286 1007017.520396, 1180963.280286 1006017.520396, 1179963.280286 1006017.520396",POINT (1180463.2802863133 1006517.520395831),75.69399294617381,26.932233220224795,"POLYGON ((75.68888170462962 26.927781337844905, 75.68902599882144 26.9368146125318, 75.69910458844502 26.936684914691078, 75.69895949278664 26.927651650137307, 75.68888170462962 26.927781337844905))"
"1180963.280286 998017.520396, 1180963.280286 999017.520396, 1181963.280286 999017.520396, 1181963.280286 998017.520396, 1180963.280286 998017.520396",POINT (1181463.2802863133 998517.520395831),75.70290789260531,26.859836699553266,"POLYGON ((75.69779955791591 26.85538509309702, 75.69794446909314 26.864418453454377, 75.70801662750968 26.864288118626774, 75.70787091588998 26.85525476847184, 75.69779955791591 26.85538509309702))"
"1180963.280286 999017.520396, 1180963.280286 1000017.520396, 1181963.280286 1000017.520396, 1181963.280286 999017.520396, 1180963.280286 999017.520396",POINT (1181463.2802863133 999517.520395831),75.70305321555601,26.868870049252948,"POLYGON ((75.69794446909314 26.864418453454377, 75.69808940331126 26.873451802627386, 75.70816236229747 26.873321457599026, 75.70801662750968 26.864288118626774, 75.69794446909314 26.864418453454377))"
