name,lon,lat
Ghat ki guni,75.8612266,26.8947988
Ramgarh Mod,75.8395104,26.944099
Harmada,75.7693282,27.0150482
Kalyan Nagar,75.7942958,26.8262837
Maharani College,75.8161415,26.9123361
Gujar Ki thadi,75.7671598,26.88064
Choti Chaupar,75.8186598,26.9244477
Chandpole,75.8072078,26.9249636
Pratap Nagar Sector 5,75.8087116,26.8033502
Shiv Nagar,75.7998768,26.815204
RBI,75.8105061,26.8969848
Power House,75.7287008,26.8846963
Bais Godam circle,75.7938981,26.9018816
Hathroi,75.7934114,26.9142683
Choti Chopad,75.8190096,26.9246247
Ajmeri Gate,75.8169299,26.9153191
Narayan Singh Circle,75.8121466,26.8991808
Kamla Nehru,75.7159898,26.8782632
200ft Bypass,75.7370806,26.8881782
Hirapura (200ft Bypass),75.7374418,26.8882616
Hirapura (200ft bypass),75.7373521,26.8890532
DCM Tagore Nagar,75.7461945,26.8933872
Tagore Nagar,75.7334549,26.8949767
Kings Road,75.751122,26.895833
Ram mandir,75.7861663,26.9027248
Sanganeri Gate,75.8242565,26.9153051
Transport Nagar,75.8444409,26.9040357
Boring Chauraha,75.7471628,26.9437193
Dher ke Balaji,75.7715169,26.9506521
Karbala,75.8402911,26.9466897
Vaishali Circle,75.742984,26.914925
Karni Palace,75.7296181,26.9113432
Taron ki Koot,75.7937657,26.836068
Vardhaman Nagar,75.7401215,26.8841622
Agarwal Farm Bus stop,75.7700029,26.8413127
Statue circle,75.8042984,26.90816
Taru Chaya Nagar,75.7938833,26.8325051
Sanganer Puliya,75.7889622,26.8184964
Chitrakoot Vaishali Nagar,75.7410373,26.8908981
B2 Bypass Circle,75.7938555,26.8385298
Airport,75.8051632,26.8299663
Sector 2 - Malviya Nagar,75.8174763,26.8507738
Mahesh Nagar,75.7728737,26.8772478
Ganga Jamuna,75.7578789,26.8802877
Gujar Ki Thadi,75.7669262,26.8804716
Mahaveer Nagar,75.795152,26.8571892
Kumbha Marg,75.8138047,26.7967043
Bhaironji Mandir Pratap Nagar,75.8254266,26.8021657
Sushilpura,75.7659022,26.8986707
Ram Nagar Extension,75.7722181,26.9016359
Sodala Thana,75.7743791,26.9029558
ESIC Hospital,75.777057,26.9060211
Civil Lines,75.7809175,26.909479
DCM - Tagore Nagar,75.7460432,26.8934416
Purani Chungi,75.7566259,26.8984628
DCM,75.7582472,26.8986966
Majdur Nagar,75.7845438,26.9108995
Sita Badi,75.7940811,26.8294791
Pratap Nagar,75.8120584,26.7987728
Sanganer Stadium,75.7837312,26.8188445
Jai Ambay bus travel agency,75.7953542,26.9213177
8 Number Bus Stand,75.8505373,26.8178791
Pratap Nagar Sector 3,75.8056353,26.807277
