grid,centroid,c_lon,c_lat,geometry,node,nearest_sap,destination,sap_name,route_length
"1179963.280286 999017.520396, 1179963.280286 1000017.520396, 1180963.280286 1000017.520396, 1180963.280286 999017.520396, 1179963.280286 999017.520396",POINT (1180463.2802863133 999517.520395831),75.69298064533281,26.869000030118585,"POLYGON ((568329.9366057535 2971618.1950217644, 568338.8241787874 2972618.824756565, 569339.4547970745 2972609.9379971633, 569330.5671499337 2971609.3065612535, 568329.9366057535 2971618.1950217644))",10081117619,POINT (570509.8702050247 2972815.993996424),8611020482,Keshrupura,2945
"1179963.280286 1000017.520396, 1179963.280286 1001017.520396, 1180963.280286 1001017.520396, 1180963.280286 1000017.520396, 1179963.280286 1000017.520396",POINT (1180463.2802863133 1000517.520395831),75.69312519075471,26.87803337869358,"POLYGON ((568338.8241787874 2972618.824756565, 568347.7100626866 2973619.454552709, 569348.340730344 2973610.5694952062, 569339.4547970745 2972609.9379971633, 568338.8241787874 2972618.824756565))",6880270038,POINT (570509.8702050247 2972815.993996424),8611020482,Keshrupura,3155
"1179963.280286 1001017.520396, 1179963.280286 1002017.520396, 1180963.280286 1002017.520396, 1180963.280286 1001017.520396, 1179963.280286 1001017.520396",POINT (1180463.2802863133 1001517.520395831),75.69326975916213,26.88706671574442,"POLYGON ((568347.7100626866 2973619.454552709, 568356.5942566606 2974620.0843854593, 569357.224948949 2974611.201030651, 569348.340730344 2973610.5694952062, 568347.7100626866 2973619.454552709))",8627833187,POINT (570509.8702050247 2972815.993996424),8611020482,Keshrupura,3814
"1179963.280286 1002017.520396, 1179963.280286 1003017.520396, 1180963.280286 1003017.520396, 1180963.280286 1002017.520396, 1179963.280286 1002017.520396",POINT (1180463.2802863133 1002517.520395831),75.69341435056053,26.89610004104507,"POLYGON ((568356.5942566606 2974620.0843854593, 568365.4767599137 2975620.714230078, 569366.1074520954 2975611.8325787517, 569357.224948949 2974611.201030651, 568356.5942566606 2974620.0843854593))",8628251472,POINT (570509.8702050247 2972815.993996424),8611020482,Keshrupura,4493
"1179963.280286 1003017.520396, 1179963.280286 1004017.520396, 1180963.280286 1004017.520396, 1180963.280286 1003017.520396, 1179963.280286 1003017.520396",POINT (1180463.2802863133 1003517.520395831),75.69355896495543,26.905133354369497,"POLYGON ((568365.4767599137 2975620.714230078, 568374.357571662 2976621.3440618212, 569374.9882389931 2976612.46411477, 569366.1074520954 2975611.8325787517, 568365.4767599137 2975620.714230078))",5318113334,POINT (572331.2176549354 2976187.967684303),8090746732,Gandhi Path Pulia,4272
"1179963.280286 1004017.520396, 1179963.280286 1005017.520396, 1180963.280286 1005017.520396, 1180963.280286 1004017.520396, 1179963.280286 1004017.520396",POINT (1180463.2802863133 1004517.520395831),75.69370360235227,26.914166655491645,"POLYGON ((568374.357571662 2976621.3440618212, 568383.2366911111 2977621.9738559467, 569383.8673088477 2977613.0956139606, 569374.9882389931 2976612.46411477, 568374.357571662 2976621.3440618212))",3784479945,POINT (572157.2101144907 2977925.042646357),3780705629,Panchawala,4650
"1179963.280286 1005017.520396, 1179963.280286 1006017.520396, 1180963.280286 1006017.520396, 1180963.280286 1005017.520396, 1179963.280286 1005017.520396",POINT (1180463.2802863133 1005517.520395831),75.69384826275657,26.923199944185438,"POLYGON ((568383.2366911111 2977621.9738559467, 568392.1141174715 2978622.60358771, 569392.7446608674 2978613.7270515803, 569383.8673088477 2977613.0956139606, 568383.2366911111 2977621.9738559467))",4721843137,POINT (572157.2101144907 2977925.042646357),3780705629,Panchawala,3462
"1179963.280286 1006017.520396, 1179963.280286 1007017.520396, 1180963.280286 1007017.520396, 1180963.280286 1006017.520396, 1179963.280286 1006017.520396",POINT (1180463.2802863133 1006517.520395831),75.69399294617381,26.932233220224795,"POLYGON ((568392.1141174715 2978622.60358771, 568400.9898499551 2979623.2332323613, 569401.6202942615 2979614.3584028813, 569392.7446608674 2978613.7270515803, 568392.1141174715 2978622.60358771))",8628193294,POINT (572157.2101144907 2977925.042646357),3780705629,Panchawala,4718
"1180963.280286 998017.520396, 1180963.280286 999017.520396, 1181963.280286 999017.520396, 1181963.280286 998017.520396, 1180963.280286 998017.520396",POINT (1181463.2802863133 998517.520395831),75.70290789260531,26.859836699553263,"POLYGON ((569321.6777897102 2970608.675212215, 569330.5671499337 2971609.3065612535, 570331.1994071914 2971600.418013871, 570322.3099473354 2970599.7849397836, 569321.6777897102 2970608.675212215))",10227722145,POINT (570509.8702050247 2972815.993996424),8611020482,Keshrupura,2768
"1180963.280286 999017.520396, 1180963.280286 1000017.520396, 1181963.280286 1000017.520396, 1181963.280286 999017.520396, 1180963.280286 999017.520396",POINT (1181463.2802863133 999517.520395831),75.70305321555601,26.868870049252948,"POLYGON ((569330.5671499337 2971609.3065612535, 569339.4547970745 2972609.9379971633, 570340.0871292332 2972601.0511756246, 570331.1994071914 2971600.418013871, 569330.5671499337 2971609.3065612535))",8610974703,POINT (570509.8702050247 2972815.993996424),8611020482,Keshrupura,887
